year,stream,count,data_type
1995,battle creek,66,upstream_estimate
1995,clear creek,2,upstream_estimate
1996,battle creek,35,upstream_estimate
1997,battle creek,107,upstream_estimate
1998,battle creek,178,upstream_estimate
1998,clear creek,47,upstream_estimate
1999,battle creek,73,upstream_estimate
1999,clear creek,35,upstream_estimate
2000,battle creek,78,upstream_estimate
2000,clear creek,9,upstream_estimate
2001,battle creek,111,upstream_estimate
2001,clear creek,0,upstream_estimate
2002,battle creek,222,upstream_estimate
2002,clear creek,66,upstream_estimate
2003,battle creek,221,upstream_estimate
2003,clear creek,25,upstream_estimate
2004,battle creek,90,upstream_estimate
2004,clear creek,98,upstream_estimate
2005,battle creek,73,upstream_estimate
2005,clear creek,69,upstream_estimate
2006,battle creek,221,upstream_estimate
2006,clear creek,77,upstream_estimate
2007,battle creek,291,upstream_estimate
2007,clear creek,194,upstream_estimate
2008,battle creek,105,upstream_estimate
2008,clear creek,200,upstream_estimate
2009,battle creek,194,upstream_estimate
2009,clear creek,120,upstream_estimate
2010,battle creek,174,upstream_estimate
2010,clear creek,21,upstream_estimate
2011,battle creek,159,upstream_estimate
2011,clear creek,8,upstream_estimate
2012,battle creek,799,upstream_estimate
2012,clear creek,68,upstream_estimate
2013,battle creek,608,upstream_estimate
2013,clear creek,659,upstream_estimate
2014,battle creek,429,upstream_estimate
2014,clear creek,95,upstream_estimate
2015,battle creek,181,upstream_estimate
2015,clear creek,45,upstream_estimate
2016,battle creek,180,upstream_estimate
2016,clear creek,29,upstream_estimate
2017,battle creek,30,upstream_estimate
2017,clear creek,25,upstream_estimate
2018,battle creek,82,upstream_estimate
2018,clear creek,49,upstream_estimate
2019,battle creek,47,upstream_estimate
2019,clear creek,62,upstream_estimate
2020,battle creek,47,upstream_estimate
2020,clear creek,172,upstream_estimate
2021,battle creek,233,upstream_estimate
2021,clear creek,2252,upstream_estimate
2022,clear creek,195,upstream_estimate
2023,clear creek,0,upstream_estimate
2022,battle creek,152,upstream_estimate
2023,battle creek,7,upstream_estimate
2024,battle creek,30,upstream_estimate
2024,clear creek,6,upstream_estimate
